generation,genome,fitness
18,0.199211,1.25061
18,0.942711,-0.225667
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,-0.722184,-1.62022
18,-0.577617,-0.94862
18,0.199211,1.25061
18,-0.554162,-0.887497
18,0.199211,1.25061
18,-0.0253434,-1.45255
18,0.0917541,0.503931
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,-0.768774,-1.70939
18,0.199211,1.25061
18,-0.66134,-1.34726
18,0.199211,1.25061
18,0.0669081,0.146672
18,0.0681108,0.165158
18,0.199211,1.25061
18,0.199211,1.25061
18,0.373978,-0.0319742
18,0.199211,1.25061
18,0.63054,-0.431591
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
18,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.702849,0.0217679
19,0.199211,1.25061
19,-0.435588,-1.23845
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,-0.0309726,-1.55099
19,-0.550094,-0.880591
19,-0.221893,-3.17353
19,0.372382,-0.0157089
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.406114,-0.340201
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,-0.753407,-1.69495
19,0.199211,1.25061
19,0.474059,-0.784123
19,0.0917541,0.503931
19,0.199211,1.25061
19,0.199211,1.25061
19,-0.109277,-2.70844
19,-0.434878,-1.24401
19,0.199211,1.25061
19,-0.0916364,-2.49398
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.50767,-0.863162
19,0.433184,-0.557844
19,0.199211,1.25061
19,0.510066,-0.864993
19,0.651424,-0.295846
19,-0.378652,-1.77912
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
19,0.199211,1.25061
20,1.05875,-0.48434
20,-0.620139,-1.13058
20,0.199211,1.25061
20,0.199211,1.25061
20,1.06943,-0.459639
20,0.78793,0.294468
20,0.199211,1.25061
20,0.7549,0.240348
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.199211,1.25061
20,0.0917541,0.503931
